"","Month","Year","Competitor merchandise exports to the World","Competitor agricultural exports to the World","Bulk","Corn","Cotton","Rice","Soybeans","Tobacco","Wheat","Intermediates","Soymeal","Soybean & Vegetable  Oil","Feeds & Fodders","Hides & Skins","Consumer Oriented","Tree Nuts","Dairy Products","Prepared Food 4/","Fresh & Processed Fruit","Fresh & Processed Vegetables","Juices & Beverages","Beef & Beef Products","Pork & Pork Products","Poultry Meat & Products","Wine & Beer","Season"
"1","1","1970","102.15304565429688","104.2275390625","102.85183715820312","99.281990051269531","99.494186401367188","102.93971252441406","95.112747192382812","92.040290832519531","110.62613677978516","113.25690460205078","93.115982055664062","114.46452331542969","113.18129730224609","115.85545349121094","113.20219421386719","111.22178649902344","119.62702178955078","108.24153900146484","111.39858245849609","115.50687408447266","112.24109649658203","107.90760803222656","120.80133819580078","110.95015716552734","115.72108459472656","Winter"
"2","2","1970","102.31398773193359","104.38662719726562","102.985595703125","99.368896484375","99.66949462890625","103.038818359375","95.224014282226562","92.234420776367188","110.78807067871094","113.43785095214844","93.202255249023438","114.66089630126953","113.35332489013672","115.992919921875","113.35463714599609","111.40158081054688","119.76213073730469","108.42144775390625","111.51012420654297","115.67063140869141","112.42816925048828","107.99496459960938","120.9783935546875","111.06649017333984","115.85001373291016","Winter"
"3","3","1970","102.42001342773438","104.50018310546875","102.90731048583984","99.280540466308594","99.540565490722656","103.02153015136719","95.058616638183594","92.282073974609375","110.68689727783203","113.35861968994141","92.875785827636719","114.61110687255859","113.26177215576172","115.87258911132812","113.29730987548828","111.43128204345703","119.64614868164062","108.44350433349609","111.43975067138672","115.60624694824219","112.46152496337891","107.77233123779297","120.80092620849609","110.85049438476562","115.72712707519531","Spring"
"4","4","1970","102.73606109619141","105.24858856201172","103.32685852050781","99.704620361328125","100.07110595703125","103.46928405761719","95.444801330566406","93.070449829101562","110.92012786865234","113.76240539550781","93.288459777832031","115.04509735107422","113.62676239013672","116.12374114990234","113.68035125732422","111.96688842773438","119.87863159179688","108.92891693115234","111.89997863769531","115.91738891601562","112.88299560546875","108.09605407714844","121.04495239257812","111.16915893554688","116.03097534179688","Spring"
"5","5","1970","102.89621734619141","105.41487121582031","103.26132965087891","99.553115844726562","99.954879760742188","103.43607330322266","95.421180725097656","93.129524230957031","110.77497100830078","113.82586669921875","93.158164978027344","115.12155151367188","113.72386169433594","116.09335327148438","113.63462066650391","111.98075866699219","119.84468078613281","108.96987915039062","111.76691436767578","115.85036468505859","112.84724426269531","108.01398468017578","121.04330444335938","111.05405426025391","115.97812652587891","Spring"
"6","6","1970","103.10428619384766","105.54686737060547","103.57738494873047","100.25540161132812","100.07943725585938","103.66494750976562","95.635444641113281","93.481452941894531","110.93695831298828","114.12055206298828","93.87353515625","115.41970062255859","113.95279693603516","116.26970672607422","113.86722564697266","112.06134033203125","120.11420440673828","109.15781402587891","112.13603973388672","116.04921722412109","113.05621337890625","108.31037139892578","121.09909820556641","111.22576141357422","116.33496856689453","Summer"
"7","7","1970","103.2427978515625","105.80255126953125","103.84072113037109","100.74544525146484","100.26758575439453","103.81487274169922","95.850700378417969","93.766593933105469","111.13539123535156","114.29973602294922","94.243911743164062","115.59149169921875","114.12374114990234","116.40350341796875","114.01862335205078","112.19847869873047","120.25773620605469","109.29122161865234","112.43190765380859","116.14305114746094","113.19125366210938","108.45590209960938","121.05011749267578","111.33478546142578","116.5557861328125","Summer"
"8","8","1970","103.30193328857422","105.88126373291016","103.67185974121094","100.47969055175781","100.52870941162109","103.65938568115234","95.290077209472656","93.854972839355469","111.07948303222656","114.0537109375","93.575363159179688","115.44068908691406","113.72878265380859","116.12474060058594","113.87395477294922","112.24275207519531","119.86119842529297","109.22950744628906","112.47976684570312","116.07598876953125","113.12154388427734","107.82765960693359","120.40570068359375","110.78007507324219","116.18228149414062","Summer"
"9","9","1970","103.38204956054688","105.97883605957031","103.70974731445312","100.39028167724609","100.80178070068359","103.66669464111328","95.13641357421875","93.95849609375","111.22898101806641","114.16201782226562","93.268898010253906","115.59754180908203","113.819580078125","116.15827178955078","113.97822570800781","112.50084686279297","119.89159393310547","109.37502288818359","112.58605194091797","116.23944091796875","113.25823211669922","107.63408660888672","120.37149047851562","110.70178985595703","116.16809844970703","Autumn"
"10","10","1970","103.39012908935547","105.95697784423828","103.58686065673828","100.09475708007812","100.72769165039062","103.57865905761719","95.002082824707031","93.76629638671875","111.20057678222656","114.10572052001953","92.909393310546875","115.54360961914062","113.82077026367188","116.10719299316406","113.93781280517578","112.52466583251953","119.87057495117188","109.34285736083984","112.47491455078125","116.24777984619141","113.21672821044922","107.47665405273438","120.36665344238281","110.63813018798828","116.05414581298828","Autumn"
