"","Month","Year","U.S. merchandise exports to the World","U.S. agricultural exports to the World","Bulk","Corn","Cotton","Rice","Soybeans","Tobacco","Wheat","Intermediates","Soymeal","Soybean & Vegetable Oil","Feeds & Fodders","Distillers Grain","Hides & Skins","Consumer Oriented","Tree Nuts","Dairy Products","Prepared Food","Fresh & Processed Fruit","Fresh & Processed Vegetables","Juices & Beverages","Beef & Beef Products","Pork & Pork Products","Poultry Meat & Products","Wine & Beer","Agricultural Related 5/","Season"
"1","1","1970","104.9681396484375","99.069267272949219","90.123947143554688","127.31697082519531","77.988456726074219","91.680740356445312","70.438003540039062","101.62385559082031","101.91033172607422","98.913002014160156","111.41524505615234","86.627967834472656","102.60474395751953","88.373710632324219","73.720306396484375","107.74144744873047","104.07004547119141","91.89251708984375","106.25078582763672","107.10906219482422","112.14325714111328","111.61493682861328","113.93206787109375","126.87067413330078","89.264137268066406","106.74204254150391","104.05204772949219","Winter"
"2","2","1970","105.25782012939453","99.383995056152344","90.343696594238281","127.42702484130859","78.165962219238281","91.8731689453125","70.572402954101562","102.03580474853516","102.46636962890625","99.273269653320312","112.50621795654297","86.822868347167969","102.84682464599609","88.655441284179688","73.641716003417969","108.16300964355469","104.35091400146484","92.489967346191406","106.69456481933594","107.49541473388672","112.64263916015625","112.07256317138672","114.19985961914062","127.33654022216797","89.646049499511719","107.04120635986328","104.31229400634766","Winter"
"3","3","1970","105.57161712646484","99.989532470703125","90.805046081542969","127.25769805908203","78.433151245117188","92.054679870605469","70.692962646484375","103.095947265625","105.03562164306641","100.23903656005859","116.97379302978516","87.106704711914062","103.48313903808594","89.377449035644531","73.539253234863281","108.87329864501953","104.36238861083984","94.554428100585938","107.3883056640625","108.02826690673828","113.34288024902344","112.656982421875","114.47321319580078","128.11955261230469","90.506027221679688","107.43531799316406","104.51256561279297","Spring"
"4","4","1970","105.90217590332031","100.37289428710938","91.228713989257812","127.26655578613281","79.230941772460938","92.212844848632812","71.216056823730469","103.59822082519531","105.20534515380859","100.70096588134766","117.48444366455078","87.3487548828125","104.37183380126953","89.995048522949219","73.652961730957031","109.20945739746094","104.60424041748047","95.281150817871094","107.70839691162109","108.43711853027344","113.65981292724609","112.93744659423828","114.74614715576172","128.29475402832031","90.894699096679688","107.59341430664062","104.74027252197266","Spring"
"5","5","1970","106.17998504638672","100.71137237548828","91.364028930664062","128.17587280273438","78.399139404296875","92.02642822265625","71.390281677246094","103.85987091064453","105.32085418701172","101.00357055664062","117.87224578857422","87.512916564941406","105.11920928955078","90.149620056152344","73.854644775390625","109.787841796875","104.35263061523438","95.865623474121094","108.40347290039062","109.21983337402344","114.49832916259766","113.78127288818359","115.55813598632812","129.03218078613281","91.029144287109375","107.99756622314453","105.16856384277344","Spring"
"6","6","1970","105.65406036376953","100.35446166992188","91.511726379394531","128.76402282714844","78.529472351074219","91.885856628417969","71.482383728027344","103.95164489746094","105.35773468017578","100.72992706298828","117.40762329101562","87.049697875976562","105.06015014648438","90.01776123046875","74.336601257324219","108.88144683837891","104.37538146972656","95.568611145019531","106.81184387207031","108.10307312011719","112.61647033691406","111.80433654785156","115.24411010742188","128.98184204101562","90.759162902832031","107.00490570068359","104.44132995605469","Summer"
"7","7","1970","105.62619018554688","100.37147521972656","91.740989685058594","129.23103332519531","78.701171875","92.031005859375","71.591995239257812","104.21626281738281","105.85031890869141","100.76837158203125","117.33909606933594","86.979698181152344","105.28919982910156","90.089195251464844","74.4356689453125","108.68932342529297","104.42636871337891","95.570014953613281","106.37355041503906","107.79863739013672","112.09371948242188","111.21627807617188","115.28456878662109","129.14926147460938","90.866439819335938","106.74242401123047","104.25669860839844","Summer"
"8","8","1970","105.56574249267578","100.64117431640625","92.506134033203125","129.09132385253906","83.039955139160156","93.322532653808594","71.682365417480469","104.75938415527344","106.28148651123047","101.19300842285156","118.50767517089844","87.072502136230469","105.63470458984375","90.742355346679688","74.290237426757812","108.45793914794922","105.76431274414062","95.266395568847656","105.88421630859375","107.32183074951172","111.62165832519531","110.52234649658203","114.77142333984375","128.91133117675781","90.946128845214844","106.30680847167969","103.92726135253906","Summer"
"9","9","1970","105.66919708251953","100.76664733886719","92.697425842285156","128.19070434570312","84.94268798828125","93.85955810546875","71.847320556640625","105.19152069091797","105.96391296386719","101.40364074707031","118.75566864013672","87.270423889160156","105.63877105712891","91.11065673828125","74.116455078125","108.5130615234375","106.36901092529297","95.321075439453125","106.04158782958984","107.3406982421875","111.71495056152344","110.65685272216797","114.38556671142578","128.36053466796875","91.300773620605469","106.37065124511719","103.87542724609375","Autumn"
"10","10","1970","105.91222381591797","100.98451995849609","92.801101684570312","127.96762084960938","85.162734985351562","94.064247131347656","71.912559509277344","105.53777313232422","106.35337066650391","101.66303253173828","119.40167236328125","87.569915771484375","105.65718841552734","91.325637817382812","74.083084106445312","108.86555480957031","106.43199157714844","95.630119323730469","106.6236572265625","107.75037384033203","112.26074981689453","111.27667236328125","114.52485656738281","128.2474365234375","91.755615234375","106.66735076904297","104.02994537353516","Autumn"
"11","11","1970","106.11395263671875","101.12118530273438","92.880889892578125","128.40293884277344","85.153388977050781","94.199783325195312","71.934799194335938","105.21153259277344","106.312744140625","101.67318725585938","118.89788055419922","87.610404968261719","105.69907379150391","91.346015930175781","74.338088989257812","109.09956359863281","106.7027587890625","95.484420776367188","106.86520385742188","107.97235870361328","112.55667114257812","111.59531402587891","114.9124755859375","128.57710266113281","91.956474304199219","106.80019378662109","104.28754425048828","Autumn"
"12","12","1970","106.26343536376953","101.16738891601562","92.814048767089844","127.99459838867188","85.263984680175781","94.170852661132812","71.955497741699219","105.24702453613281","106.11763763427734","101.67276763916016","118.88703155517578","87.848976135253906","105.59712982177734","91.276809692382812","74.075767517089844","109.26122283935547","106.98152160644531","95.417572021484375","107.14765167236328","108.20272064208984","112.91124725341797","112.00186920166016","114.73333740234375","128.41644287109375","92.076774597167969","107.02474975585938","104.48199462890625","Winter"
"13","1","1971","105.22641754150391","100.21356201171875","91.945655822753906","126.63233184814453","84.669586181640625","93.329048156738281","71.406089782714844","104.58359527587891","104.59521484375","100.70780944824219","117.83013153076172","87.201919555664062","104.35283660888672","90.319007873535156","73.415702819824219","108.21745300292969","106.26244354248047","94.438591003417969","106.05043792724609","107.08846282958984","111.73561096191406","110.82260894775391","113.52291107177734","127.24533843994141","91.420730590820312","105.98648071289062","103.52530670166016","Winter"
