"","Month","Year","U.S. agricultural imports","Bulk","Coffee, Unroasted","Rubber & Allied Products","Cocoa Beans","Raw Beet & Cane Sugar","Intermediates","Oils (ex. Soybean)","Live Animals","Sugars, Sweeteners, Beverage Bases","Cocoa Paste &  Butter","Consumer-Oriented","Wine & Beer","Fresh & Processed Fruit","Fresh & Processed Vegetables","Prepared & Snack Foods","Chocolate & Cocoa Products","Beef & Beef Products","Agricultural Related Products","Fish Products","Forest Products","Distilled Spirits","Season"
"1","1","1970","103.30666351318359","82.315780639648438","61.776126861572266","64.134902954101562","352.59909057617188","74.070762634277344","96.714401245117188","90.140670776367188","106.82391357421875","86.632720947265625","104.26301574707031","111.63739776611328","118.07670593261719","135.31674194335938","107.90117645263672","102.62828063964844","106.89672088623047","78.348762512207031","104.68577575683594","121.29006195068359","84.464675903320312","113.51887512207031","Winter"
"2","2","1970","103.5853271484375","82.704116821289062","62.110282897949219","64.339767456054688","354.12127685546875","74.865264892578125","97.177146911621094","91.135536193847656","107.36691284179688","87.04150390625","104.59419250488281","111.88512420654297","118.0679931640625","135.14837646484375","108.44411468505859","103.03758239746094","107.32745361328125","78.380226135253906","104.79994201660156","121.43546295166016","84.565864562988281","113.58486938476562","Winter"
"3","3","1970","104.12897491455078","83.230819702148438","62.286785125732422","64.9615478515625","347.666259765625","78.258659362792969","98.119277954101562","94.57135009765625","107.71494293212891","87.453941345214844","104.36738586425781","112.26719665527344","117.93816375732422","135.964599609375","108.74439239501953","103.44745635986328","107.39527893066406","78.517204284667969","105.23044586181641","122.41525268554688","84.714859008789062","113.56388092041016","Spring"
"4","4","1970","105.12979888916016","85.0025634765625","62.460514068603516","69.599006652832031","363.3311767578125","78.316642761230469","98.693687438964844","95.360847473144531","108.08953857421875","88.016822814941406","106.52964019775391","112.98651885986328","118.53043365478516","138.07496643066406","109.29907989501953","103.81885528564453","108.52358245849609","78.792098999023438","106.38346862792969","124.44256591796875","85.536918640136719","113.54067993164062","Spring"
"5","5","1970","105.61990356445312","86.377693176269531","62.683647155761719","73.154571533203125","380.19308471679688","78.380844116210938","99.130439758300781","95.99847412109375","108.84496307373047","88.207511901855469","108.39627838134766","113.1636962890625","118.46818542480469","137.69821166992188","109.53952789306641","104.21192932128906","109.62461853027344","79.051826477050781","106.88788604736328","125.2830810546875","85.975677490234375","113.50279235839844","Spring"
"6","6","1970","104.70539093017578","85.17431640625","62.421470642089844","72.447639465332031","355.45272827148438","78.256973266601562","98.150238037109375","95.2738037109375","106.38938140869141","87.261833190917969","106.65585327148438","112.4649658203125","118.77716827392578","137.08561706542969","108.65402221679688","103.02952575683594","107.83819580078125","78.28216552734375","105.92441558837891","124.55255889892578","84.499969482421875","113.39006042480469","Summer"
"7","7","1970","104.85509490966797","85.422470092773438","62.726631164550781","72.812179565429688","358.88357543945312","78.508125305175781","97.970848083496094","94.83392333984375","105.65634918212891","87.263671875","106.8262939453125","112.71001434326172","119.27466583251953","138.99024963378906","108.54488372802734","102.72457885742188","107.62217712402344","78.010238647460938","106.02866363525391","124.94300079345703","84.430931091308594","113.35280609130859","Summer"
"8","8","1970","104.97317504882812","85.796920776367188","62.52569580078125","72.956809997558594","372.496826171875","78.360069274902344","97.6256103515625","94.59930419921875","104.77897644042969","86.841270446777344","106.67474365234375","112.77848815917969","118.60214233398438","140.93348693847656","108.52239227294922","102.45060729980469","107.17779541015625","77.478782653808594","106.26804351806641","126.47875213623047","83.851753234863281","113.04998016357422","Summer"
"9","9","1970","105.14981842041016","86.477226257324219","62.725578308105469","74.348724365234375","378.43167114257812","78.204811096191406","97.798713684082031","94.744461059570312","105.15409088134766","87.016044616699219","107.49095153808594","112.85830688476562","118.37067413330078","140.78306579589844","108.89512634277344","102.75279998779297","107.72808074951172","77.287338256835938","106.33415222167969","126.51447296142578","83.951446533203125","113.18080902099609","Autumn"
"10","10","1970","105.54102325439453","87.046516418457031","63.086727142333984","74.765586853027344","385.42572021484375","78.739616394042969","98.10205078125","95.123390197753906","105.98297119140625","87.616111755371094","108.08392333984375","113.21402740478516","118.32228851318359","141.30569458007812","109.44886779785156","103.23171997070312","108.36962890625","77.477531433105469","106.68049621582031","126.91802978515625","84.377349853515625","113.21039581298828","Autumn"
"11","11","1970","105.51494598388672","86.80908203125","63.367595672607422","73.454544067382812","380.76467895507812","78.400222778320312","98.061141967773438","94.8603515625","106.22891235351562","87.643890380859375","107.90863037109375","113.21433258056641","118.14575958251953","141.09336853027344","109.55454254150391","103.3712158203125","108.39458465576172","77.458488464355469","106.74169921875","126.84246826171875","84.547821044921875","113.16625213623047","Autumn"
"12","12","1970","105.75358581542969","87.236579895019531","63.80126953125","73.527923583984375","387.00518798828125","78.314849853515625","98.398544311523438","95.034980773925781","106.66152191162109","87.707412719726562","108.71111297607422","113.30043792724609","117.95665740966797","141.08758544921875","109.5986328125","103.58477020263672","108.93440246582031","77.350730895996094","107.06739044189453","127.16899871826172","84.928512573242188","113.28468322753906","Winter"
"13","1","1971","104.74721527099609","86.199859619140625","62.767704010009766","72.06988525390625","386.21994018554688","77.928413391113281","97.390022277832031","93.86944580078125","105.54099273681641","86.987449645996094","107.36431121826172","112.26109313964844","117.00506591796875","139.63006591796875","108.67129516601562","102.61292266845703","107.73220825195312","76.823013305664062","106.10189819335938","126.0931396484375","84.17498779296875","111.98603057861328","Winter"
"14","2","1971","104.37834930419922","85.864242553710938","62.900150299072266","71.147430419921875","386.03604125976562","77.945877075195312","96.898597717285156","93.332122802734375","104.97510528564453","86.764823913574219","106.89304351806641","111.91796875","116.53180694580078","139.477783203125","108.39238739013672","102.20199584960938","107.25485992431641","76.520126342773438","105.75845336914062","125.81035614013672","83.785018920898438","111.64158630371094","Winter"
"15","3","1971","104.29343414306641","85.771499633789062","63.044811248779297","71.251884460449219","379.03036499023438","77.621841430664062","96.881294250488281","93.361747741699219","105.00409698486328","86.754974365234375","106.58429718017578","111.78996276855469","116.18099975585938","139.42091369628906","108.31867980957031","102.13997650146484","107.10878753662109","76.415985107421875","105.66851043701172","125.73320770263672","83.752006530761719","111.40572357177734","Spring"
"16","4","1971","104.01195526123047","86.019798278808594","63.296787261962891","72.037330627441406","380.47305297851562","77.478897094726562","96.557334899902344","93.481689453125","104.44168090820312","86.546424865722656","106.87873840332031","111.36020660400391","115.55878448486328","138.7391357421875","107.95166015625","101.77531433105469","106.96041870117188","75.887321472167969","105.33216857910156","125.54916381835938","83.426918029785156","110.63285064697266","Spring"
"17","5","1971","104.26712799072266","86.776832580566406","63.686336517333984","73.733818054199219","381.6182861328125","77.68414306640625","96.802406311035156","93.984901428222656","104.83113098144531","86.846389770507812","106.98527526855469","111.39063262939453","115.33186340332031","138.59962463378906","108.27150726318359","102.02202606201172","107.01952362060547","76.187713623046875","105.65313720703125","126.14299774169922","83.634933471679688","110.60871887207031","Spring"
"18","6","1971","104.76554870605469","87.114654541015625","63.336799621582031","74.788497924804688","382.75436401367188","77.762710571289062","97.298500061035156","94.7996826171875","105.97334289550781","87.265151977539062","107.44113922119141","111.8448486328125","115.75010681152344","138.70040893554688","108.93798828125","102.76183319091797","107.72335815429688","76.537986755371094","106.28417205810547","126.85038757324219","84.305671691894531","110.94635772705078","Summer"
"19","7","1971","104.38311004638672","86.696266174316406","63.062568664550781","74.849357604980469","382.75579833984375","77.093101501464844","96.875244140625","94.365028381347656","105.51477813720703","87.020118713378906","107.52763366699219","111.50221252441406","115.46659088134766","138.20098876953125","108.79312896728516","102.40800476074219","107.5147705078125","76.053062438964844","105.91294097900391","126.52739715576172","83.905113220214844","110.61945343017578","Summer"
"20","8","1971","104.07247924804688","87.656143188476562","63.91595458984375","77.650321960449219","386.10821533203125","77.39019775390625","96.298995971679688","93.928306579589844","104.1851806640625","86.768081665039062","107.71275329589844","110.92312622070312","114.66558837890625","138.25306701660156","108.15914154052734","101.58756256103516","106.92564392089844","75.431594848632812","105.47847747802734","126.38491058349609","83.359077453613281","109.78289794921875","Summer"
"21","9","1971","103.63365173339844","88.34173583984375","64.075119018554688","80.109123229980469","392.97613525390625","76.846084594726562","95.709793090820312","93.649772644042969","104.11499786376953","86.526107788085938","107.68531799316406","110.09929656982422","112.92481994628906","137.49885559082031","107.84644317626953","101.09498596191406","106.61064910888672","74.435379028320312","105.11254119873047","125.998779296875","83.343620300292969","108.59405517578125","Autumn"
"22","10","1971","103.01051330566406","88.042259216308594","64.179824829101562","79.506805419921875","392.96670532226562","76.722648620605469","94.967552185058594","92.826622009277344","103.24399566650391","86.352325439453125","106.81364440917969","109.44137573242188","111.95508575439453","137.16337585449219","107.57096099853516","100.43051147460938","105.78304290771484","73.46636962890625","104.43749237060547","125.35061645507812","82.699951171875","107.85359191894531","Autumn"
"23","11","1971","102.50389862060547","87.266487121582031","63.515800476074219","78.108818054199219","389.18807983398438","76.259117126464844","94.634162902832031","92.525253295898438","103.09340667724609","86.085357666015625","106.17254638671875","108.93459320068359","111.56972503662109","135.99331665039062","107.16993713378906","100.11515808105469","105.33712768554688","73.375114440917969","103.98091125488281","124.63550567626953","82.445304870605469","107.33717346191406","Autumn"
"24","12","1971","101.97966003417969","87.517356872558594","63.820266723632812","78.816902160644531","394.03671264648438","76.124916076660156","93.617530822753906","90.855567932128906","102.66741180419922","86.014289855957031","105.17611694335938","108.16294097900391","109.93528747558594","135.35504150390625","106.91621398925781","99.671829223632812","104.715576171875","72.398658752441406","103.63571929931641","124.755859375","82.06964111328125","106.07282257080078","Winter"
"25","1","1972","101.24810028076172","86.856330871582031","63.490798950195312","77.360687255859375","398.74868774414062","75.4708251953125","92.406944274902344","88.966217041015625","102.40254974365234","85.769622802734375","103.78559112548828","107.77133941650391","108.57460784912109","139.62721252441406","106.13523101806641","98.358207702636719","103.56769561767578","71.880126953125","102.19294738769531","123.51666259765625","81.146080017089844","103.16876983642578","Winter"
"26","2","1972","101.01834869384766","86.623207092285156","63.897041320800781","76.574821472167969","386.5794677734375","76.110237121582031","91.997261047363281","88.820465087890625","102.22882843017578","85.900352478027344","101.96875","107.53785705566406","107.72849273681641","140.0972900390625","106.24423980712891","98.150489807128906","102.64994049072266","71.568893432617188","101.92080688476562","123.35198211669922","81.054100036621094","102.14997100830078","Winter"
"27","3","1972","100.43985748291016","86.4232177734375","64.019462585449219","76.548118591308594","381.00454711914062","76.154685974121094","91.452369689941406","88.4552001953125","101.53794860839844","85.566513061523438","101.18417358398438","106.96328735351562","106.80435180664062","138.15934753417969","105.72476196289062","97.571304321289062","101.98180389404297","73.485435485839844","101.07756042480469","122.28897857666016","80.354423522949219","101.41045379638672","Spring"
"28","4","1972","99.972053527832031","85.995155334472656","63.278163909912109","76.615859985351562","377.96951293945312","76.048194885253906","91.225814819335938","88.613716125488281","101.09901428222656","85.140327453613281","100.79293060302734","106.38620758056641","106.49091339111328","136.38697814941406","105.2822265625","97.274452209472656","101.61162567138672","72.956695556640625","100.67581939697266","121.86780548095703","79.8951416015625","101.18862152099609","Spring"
"29","5","1972","99.696083068847656","86.041114807128906","63.459568023681641","76.88726806640625","374.61947631835938","76.152046203613281","91.099922180175781","88.750633239746094","100.78120422363281","85.438690185546875","100.80272674560547","106.00852966308594","105.871826171875","135.43936157226562","105.12128448486328","97.038612365722656","101.44501495361328","72.7886962890625","100.30499267578125","121.49375915527344","79.539665222167969","100.75635528564453","Spring"
"30","6","1972","99.378303527832031","86.008392333984375","63.238792419433594","77.9566650390625","375.43484497070312","75.669281005859375","90.826568603515625","88.480735778808594","100.14117431640625","85.236122131347656","100.63737487792969","105.51077270507812","105.32310485839844","135.23080444335938","104.59400177001953","96.568756103515625","101.02706909179688","72.199119567871094","100.16033935546875","121.46707916259766","79.3134765625","100.69692993164062","Summer"
"31","7","1972","99.012298583984375","86.350639343261719","63.422340393066406","78.716270446777344","381.169921875","75.508453369140625","91.092491149902344","88.157928466796875","99.965843200683594","85.113845825195312","101.24162292480469","105.00597381591797","104.85737609863281","132.8046875","104.38282775878906","96.335662841796875","101.17127990722656","72.438987731933594","99.584579467773438","120.49100494384766","78.337989807128906","101.99334716796875","Summer"
"32","8","1972","97.962135314941406","85.9742431640625","63.443851470947266","78.360809326171875","379.42279052734375","75.11029052734375","90.370841979980469","87.613677978515625","99.314201354980469","84.564323425292969","101.11598968505859","103.86911773681641","104.18891143798828","128.40951538085938","103.81807708740234","95.81964111328125","100.85372161865234","71.804916381835938","98.401199340820312","118.62778472900391","77.169090270996094","102.23423767089844","Summer"
"33","9","1972","99.113090515136719","85.682632446289062","63.116142272949219","77.735771179199219","379.81524658203125","75.078514099121094","90.870864868164062","87.4251708984375","99.203720092773438","84.885643005371094","100.98912811279297","105.26752471923828","105.12346649169922","137.49269104003906","103.84810638427734","95.524620056152344","100.65674591064453","71.778190612792969","99.888908386230469","121.14431762695312","78.719024658203125","101.47344207763672","Autumn"
"34","10","1972","98.7464599609375","85.390899658203125","63.370281219482422","75.869583129882812","378.26461791992188","75.438125610351562","90.982215881347656","87.688278198242188","99.571479797363281","85.11639404296875","100.66140747070312","104.85637664794922","104.39266967773438","134.98451232910156","104.13330078125","95.742294311523438","100.72986602783203","71.451225280761719","99.396873474121094","120.12171936035156","78.314529418945312","101.83908843994141","Autumn"
"35","11","1972","98.254508972167969","83.984100341796875","63.20867919921875","71.038154602050781","372.0572509765625","75.367591857910156","90.867607116699219","87.232444763183594","99.326393127441406","84.830436706542969","99.390159606933594","104.55174255371094","104.04195404052734","134.23867797851562","103.85400390625","95.492042541503906","100.04930877685547","71.601844787597656","98.975341796875","119.09168243408203","78.0625","102.24217224121094","Autumn"
"36","12","1972","97.563552856445312","83.313232421875","63.144306182861328","68.320289611816406","369.40484619140625","74.973678588867188","90.531280517578125","87.08697509765625","100.30327606201172","84.76177978515625","98.636650085449219","103.75547790527344","102.72027587890625","130.06578063964844","103.9532470703125","95.847312927246094","100.08815002441406","71.42498779296875","98.337554931640625","117.63562774658203","77.914131164550781","101.99629211425781","Winter"
"37","1","1973","97.030647277832031","83.010543823242188","62.636917114257812","68.9383544921875","370.37298583984375","73.768325805664062","89.881645202636719","86.288383483886719","99.646919250488281","84.046829223632812","98.381340026855469","103.02339172363281","101.88221740722656","130.159912109375","103.24496459960938","95.221366882324219","99.556510925292969","69.890998840332031","98.19622802734375","117.41253662109375","77.809013366699219","101.74786376953125","Winter"
"38","2","1973","94.729141235351562","81.660736083984375","61.83953857421875","68.282180786132812","354.66525268554688","72.659156799316406","87.408256530761719","83.857040405273438","98.747177124023438","83.127044677734375","93.557426452636719","100.42911529541016","98.233894348144531","127.72906494140625","102.30266571044922","93.48236083984375","96.46240234375","67.046226501464844","95.759284973144531","114.83020782470703","76.002105712890625","98.161140441894531","Winter"
"39","3","1973","92.865386962890625","80.606979370117188","60.969463348388672","67.640655517578125","342.52633666992188","72.0081787109375","85.848487854003906","82.49072265625","99.023109436035156","82.888580322265625","90.178337097167969","98.451225280761719","95.289321899414062","123.53524017333984","101.7681884765625","92.613784790039062","94.671890258789062","66.390556335449219","93.386116027832031","111.75193786621094","74.290725708007812","95.676925659179688","Spring"
"40","4","1973","92.390357971191406","80.045318603515625","60.466556549072266","66.869667053222656","339.94052124023438","71.62396240234375","85.311676025390625","82.077781677246094","98.670135498046875","82.445884704589844","89.669456481933594","97.955070495605469","95.206657409667969","121.79155731201172","101.26589202880859","92.430953979492188","94.33880615234375","66.117622375488281","93.071884155273438","111.23829650878906","74.135154724121094","95.479270935058594","Spring"
"41","5","1973","91.36077880859375","79.454025268554688","59.997940063476562","66.855339050292969","333.04660034179688","70.810592651367188","84.295677185058594","81.288246154785156","98.566078186035156","82.002731323242188","88.341026306152344","96.779151916503906","93.754447937011719","118.31252288818359","100.77240753173828","91.955360412597656","93.542686462402344","66.228775024414062","92.040878295898438","109.83972930908203","73.480941772460938","94.193130493164062","Spring"
"42","6","1973","90.023117065429688","77.885421752929688","59.756393432617188","64.360794067382812","306.34725952148438","70.463005065917969","82.834098815917969","80.277252197265625","97.817214965820312","81.608589172363281","84.127799987792969","95.623794555664062","92.018318176269531","117.35285186767578","100.23590087890625","91.043922424316406","90.933929443359375","66.025932312011719","90.293014526367188","107.82466125488281","72.383262634277344","91.375282287597656","Summer"
"43","7","1973","88.066581726074219","76.037910461425781","58.479984283447266","61.691860198974609","297.662841796875","69.390914916992188","80.994056701660156","77.421112060546875","96.273277282714844","80.225120544433594","80.013801574707031","93.385704040527344","89.35748291015625","115.01725769042969","98.403800964355469","89.108390808105469","87.773086547851562","64.864250183105469","88.59649658203125","105.75030517578125","71.294891357421875","88.997314453125","Summer"
"44","8","1973","88.914344787597656","77.657936096191406","60.177764892578125","62.718505859375","310.88760375976562","70.183433532714844","82.0203857421875","77.718986511230469","97.320510864257812","80.701408386230469","81.988235473632812","94.104789733886719","90.516197204589844","112.31680297851562","99.181770324707031","90.421417236328125","89.55804443359375","65.430931091308594","89.5826416015625","106.26639556884766","71.721046447753906","92.334213256835938","Summer"
"45","9","1973","88.105857849121094","76.668907165527344","59.364898681640625","61.197189331054688","308.69232177734375","68.973182678222656","81.760284423828125","76.972038269042969","96.849884033203125","79.728302001953125","81.173194885253906","92.952537536621094","88.953857421875","111.49757385253906","97.869972229003906","89.643074035644531","88.933799743652344","63.583518981933594","89.236030578613281","105.45938873291016","71.671585083007812","92.318092346191406","Autumn"
